Years,0,1,At25,Grand Total,PercentageOf
2008,48106,9776,0,57882,20.32178938
2009,46252,9502,0,55754,20.54397648
2010,45359,9446,0,54805,20.8249741
2011,45430,9156,0,54586,20.1540832
2012,45234,9127,0,54361,20.17730026
2013,44874,9117,0,53991,20.31688728
2014,44317,8972,0,53289,20.24505269
2015,43981,8843,0,52824,20.10640959
2016,43170,8619,0,51789,19.96525365
2017,42894,8495,0,51389,19.80463468
2018,42727,8360,0,51087,19.56608234
2019,42737,8236,0,50973,19.27135737
2020,41669,8155,0,49824,19.57090403
2021,40953,8039,0,48992,19.62981955
2008,19006,11096,1,30102,58.38156372
2009,18581,11112,1,29693,59.8030246
2010,17943,10753,1,28696,59.92866299
2011,17861,10412,1,28273,58.29460836
2012,17881,10436,1,28317,58.3636262
2013,17786,10432,1,28218,58.65287305
2014,18219,10586,1,28805,58.10417696
2015,18705,10927,1,29632,58.41753542
2016,19627,11615,1,31242,59.17868243
2017,19523.6675,11828.961,1,31352.6285,60.58780196
2018,20452.921,12592.6915,1,33045.6125,61.56915924
2019,21155.91,11957.85,1,33113.76,56.52250364
2020,22544.634,12728.7824,1,35273.4164,56.46036392
2021,22695,12231,1,34926,53.89292796
2022,23038,13174,1,36212,57.18378331
2008,751.92,42.75,0,794.67,5.68544526
2009,752.96,55.53,0,808.49,7.374893753
2010,680.14,59.63,0,739.77,8.767312612
2011,720.64,62.15,0,782.79,8.624278419
2012,657.612,83.53,0,741.142,12.70201882
2013,704,142,0,846,20.17045455
2014,726,170,0,896,23.41597796
2015,798.061,182,0,980.061,22.80527428
2016,802.473,120.851,0,923.324,15.05982133
2017,798.187,141.326,0,939.513,17.70587594
2018,785.074,150.246,0,935.32,19.13781376
2019,840.413,302.455,1,1142.868,35.9888531
2020,908.96,294.2306,1,1203.1906,32.37002728
2021,869.285,313.838,1,1183.123,36.10300419
2022,871.612,295.263,1,1166.875,33.87550883
2008,1368.98,100.59,0,1469.57,7.347806396
2009,1205.53,86.62,0,1292.15,7.185221438
2010,1252.62,43.37,0,1295.99,3.462342929
2011,1339.28,244.12,0,1583.4,18.22770444
2012,1330.16,261.21,0,1591.37,19.63748722
2013,1280.05,261.31,0,1541.36,20.41404633
2014,1270.245,267.886,0,1538.131,21.08931742
2015,1299.998,298.172,0,1598.17,22.93634298
2016,1272.061,312.268,0,1584.329,24.54819384
2017,1286.434,310.807,0,1597.241,24.16035335
2018,1300.572,315.39,0,1615.962,24.25009919
2019,1318.626,362.5285,1,1681.1545,27.49289791
2020,1349.947,329.152,0,1679.099,24.38258687
2021,1345.007,354.221,1,1699.228,26.33599676
2022,1316.971,344.636,1,1661.607,26.16883743
2023,1281.802,316.3557,0,1598.1577,24.68054348
2008,340.69,88.97,1,429.66,26.11464968
2009,338.14,89.3,1,427.44,26.40917963
2010,344.26,92.72,1,436.98,26.93313194
2011,345.33,97.59,1,442.92,28.25992529
2012,346.09,96.41,1,442.5,27.85691583
2013,334.72,94.56,1,429.28,28.25047801
2014,348.15,99.06,1,447.21,28.45325291
2015,345.95,100.88,1,446.83,29.16028328
2016,474.0908,135.8641,1,609.9549,28.65782251
2017,475.8288,141.4853,1,617.3141,29.73449695
2018,488.3121,145.0273,1,633.3394,29.69971459
2019,490.7043,145.7266,1,636.4309,29.69743693
2020,497.7644,146.0806,1,643.845,29.34733782
2021,507.5859,152.3042,1,659.8901,30.00560102
2022,470.688,150.4585,1,621.1465,31.96565453
2023,474.6474,149.3518,1,623.9992,31.4658418
2008,37595,1346.8,0,38941.8,3.582391275
2009,38325,1500,0,39825,3.913894325
2010,40058.75,1695,0,41753.75,4.2312853
2011,41062.5,1980,0,43042.5,4.821917808
2012,42102.75,2100,0,44202.75,4.987797709
2008,9868,2450,0,12318,24.82772598
2009,9738,2384,0,12122,24.48141302
2010,9484,2354,0,11838,24.82075074
2011,9479,2291,0,11770,24.16921616
2012,9203,2196,0,11399,23.8617842
2013,8840,2112,0,10952,23.89140271
2014,8894,2112,0,11006,23.74634585
2015,8866,2176,0,11042,24.54319874
2016,8861,2291,1,11152,25.85486965
2017,8792,2327,1,11119,26.46724295
2018,8806,2395,1,11201,27.19736543
2019,8806,2441,1,11247,27.71973654
2020,9300,2583,1,11883,27.77419355
2021,9005,2514,1,11519,27.91782343
2022,8365,2353,1,10718,28.12910938
2023,8364,2309,1,10673,27.60640842
2008,2324,669.51,1,2993.51,28.80851979
2009,2269,619.82,1,2888.82,27.31687968
2010,2295,608.76,1,2903.76,26.5254902
2011,2403,598,0,3001,24.88555972
2012,2392,620,1,3012,25.91973244
2013,2517.96,589.68,0,3107.64,23.4189582
2014,2175.44,566.97,1,2742.41,26.06231383
2015,2187.22,571.5,1,2758.72,26.12905881
2016,3946.17,1104.9,1,5051.07,27.99930059
2017,3949.21,1137.61,1,5086.82,28.80601437
2018,3926.9,1216.92,1,5143.82,30.98933001
2019,4150.795,1241.467,1,5392.262,29.90913789
2020,3904.995,1379.389,1,5284.384,35.3237072
2021,4320.278,1234.189,1,5554.467,28.56735145
2022,4189.471,1291.162,1,5480.633,30.81921321
2023,3997.338,1252.44,1,5249.778,31.33185135
2008,12194,895,0,13089,7.33967525
2009,12053,1421,0,13474,11.78959595
2010,12032,1783,0,13815,14.81881649
2011,12129,1173,0,13302,9.671036359
2012,12084,1244,0,13328,10.29460444
2013,11295,1499,0,12794,13.27135901
2014,10330,2180,0,12510,21.1035818
2015,10863,2867,1,13730,26.39234097
2016,11654.34,3243.478,1,14897.818,27.83064506
2017,11968.72,3198.68,1,15167.4,26.7253307
2018,12485.42,3269.05,1,15754.47,26.18293978
2019,12752.78,3192.052,1,15944.832,25.03024439
2020,13116.9,3498.629,1,16615.529,26.67268181
2021,13673.58,3680.679,1,17354.259,26.9181809
2022,13420.3,3585.433,1,17005.733,26.7164892
2023,13447.91,2120.237,0,15568.147,15.7662938
2008,5471.84,566.65,0,6038.49,10.35574871
2009,5496.27,648.21,0,6144.48,11.79363459
2010,5457.14,619.35,0,6076.49,11.34935149
2011,5177.78,594.79,0,5772.57,11.48735558
2012,4765.92,549.48,0,5315.4,11.52935844
2013,4597.94,594.12,0,5192.06,12.92143873
2014,4710.46,764.67,0,5475.13,16.23344641
2015,4768.813,677.772,0,5446.585,14.21259336
2016,4890.592,699.0439,0,5589.6359,14.29364584
2017,5006.55,604.135,0,5610.685,12.06689237
2018,5213.148,638.4655,0,5851.6135,12.24721608
2019,5281.384,642.5808,0,5923.9648,12.16690171
2020,5278.502,673.2275,0,5951.7295,12.75413934
2021,5310.546,724.29,0,6034.836,13.6387106
2022,5323.199,695.4716,0,6018.6706,13.06491829
2023,5338.131,696.4774,0,6034.6084,13.04721447
2008,1685.53,59.65,0,1745.18,3.538946207
2009,1654.35,72.45,0,1726.8,4.379363496
2010,1719.01,98.15,0,1817.16,5.709681735
2011,1678.92,113.45,0,1792.37,6.757320182
2012,1656.57,140.75,0,1797.32,8.496471625
